ActivityNumber,District,Neighborhood,OccurenceStartDate,OccurenceEndDate,ReportDate,OccurenceLocation,OccurenceCity,OccurenceZipCode,X_Coord,Y_Coord,PrimaryViolation,Injury
2008-0000006,Central,Fruitridge/Pocket,1/1/2008 00:10,1/1/2008 00:10,1/1/2008 00:26,4600 Block of Parker Ave,SACRAMENTO,95820,6718354.0116,1957043.3783,PC 246 Shoot At Inhabited Dwelling/Vehicle/Etc,
2008-0000012,Rancho Cordova,Gold River,1/1/2008 00:00,1/1/2008 00:44,1/1/2008 00:44,12200 Block of Tributary Point Dr,Sacramento,95670,6784514.46057,1993061.53351,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0006536,Northwest,Elverta,1/31/2008 23:45,1/31/2008 23:46,2/1/2008 00:12,8300 Block of Palladay Rd,Elverta,95626,6721126.695,2024799.3979,PC 242 Battery,
2008-0006550,Rancho Cordova,Prospect Park,1/31/2008 20:00,2/1/2008 01:40,2/1/2008 01:40,2600 Block of Sunrise Blvd,Rancho Cordova,95742,6770502.0401,1982487.5468,PC 459 Burglary,
2008-0011814,Northwest,Antelope,2/29/2008 22:15,2/29/2008 22:15,3/1/2008 01:22,4100 Block of Cree Way,Antelope,95843,0,0,PC 220 Assault To Commit Mayhem or Sex Crime,
2008-0011880,North,Five Points,3/1/2008 11:15,3/1/2008 11:42,3/1/2008 01:42,5100 Block of Fair Oaks Blvd,Carmichael,95608,6748841.4993,1980063.0788,PC 666 Petty Theft W/Prior Jail Term For Specific Offenses,
2009-0013625,Rancho Cordova,White Rock,4/1/2008 00:01,4/1/2008 00:01,4/1/2008 00:01,10800 Block of Olson Dr,Rancho Cordova,95670,6765679.77330006,1978788.50009289,PC 261.5 Unlawful Sexual Intercourse: Vict Under 18,
2008-0017968,North,American River,4/1/2008 00:45,4/1/2008 01:00,4/1/2008 01:00,4900 Block of Little Oak Ln,Sacramento,95841,0,0,PC 273.5 Inflict Crpl Inj Sp/Cohab,
2008-0023877,North,Carmichael Creek,4/30/2008 22:16,4/30/2008 22:16,5/1/2008 00:01,6300 Block of Grant Ave,Carmichael,95608,6756363.5185,1991885.4439,PC 459 Burglary,
2008-0023880,Northwest,North Highlands,4/30/2008 23:50,4/30/2008 23:58,5/1/2008 00:02,7400 Block of Larchmont Dr,North Highlands,95660,0,0,PC 273.5 Inflict Crpl Inj Sp/Cohab,
2008-0029900,Central,Fruitrdige Vista,6/1/2008 00:05,6/1/2008 00:05,6/1/2008 00:05,3900 Block of Fruitridge Rd,Sacramento,95820,6715615.34723,1953341.01312,HS 11350(A) Possess Narcotic Controlled Substance,
2008-0029902,Rancho Cordova,Gold River,6/1/2008 00:30,6/1/2008 00:50,6/1/2008 00:41,11400 Block of Forty Niner Cir,Rancho Cordova,95670,6774355.30414,1993326.73962,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0042172,Central,Maric College,7/1/2008 00:00,7/1/2008 00:00,7/1/2008 00:00,7900 Block of S Watt Ave,Sacramento,95829,6737456.4205,1999105.798,PC 666 Petty Theft W/Prior Jail Term For Specific Offenses,
2008-0035359,Central,Franklin Boulevard,6/30/2008 23:39,7/1/2008 00:05,7/1/2008 01:00,Franklin Blvd & 51st Ave,Sacramento,95823,6715045.99984,1946157.00016,PC 496D(A) Poss Stolen Veh/Ves/Etc,
2008-0040167,Rancho Cordova,South White Rock,8/1/2008 01:50,8/1/2008 01:50,8/1/2008 01:09,10600 Block of White Rock Rd,Rancho Cordova,95670,6764558.3561,1976785.9295,PC 459 Burglary,
2008-0041068,North,Cypress,8/1/2008 02:00,8/1/2008 02:50,8/1/2008 02:55,5300 Block of Engle Rd,Carmichael,95608,6750294.9551,1993459.3699,PC 459 Burglary,
2008-0046865,North,Foothill Farms NE,9/1/2008 01:30,9/1/2008 01:37,9/1/2008 00:00,4900 Block of Summerwood Cir,Sacramento,95841,6747363.8475,2004041.9458,PC 243(D) Battery With Serious Bodily Injury (Punishment),
2008-0046854,Rancho Cordova,Walnut Wood,9/1/2008 00:05,9/1/2008 00:17,9/1/2008 00:17,2400 Block of Sunrise Blvd,Rancho Cordova,95670,6770561.47052,1986472.78229,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0052457,Rancho Cordova,South White Rock,9/30/2008 21:12,9/30/2008 21:13,10/1/2008 00:27,10400 Block of El Mercado Dr,Rancho Cordova,95670,6761694.5824,1971672.516,PC 647(F) Disorderly Conduct:Public Intoxication,
2008-0052458,North Central,Arcade Square,10/1/2008 00:30,10/1/2008 00:30,10/1/2008 00:40,3400 Block of Hidden Oak Ct,Sacramento,95821,6733766.0673,1991062.1668,PC 459 Burglary,
2008-0059976,Rancho Cordova,La Riviera East,10/31/2008 11:58,11/1/2008 00:01,11/1/2008 00:05,2200 Block of Rogue River Dr,Sacramento,95826,6744274,1969553,PC 415(1) Fight/Challenge Fight Public Place,
2008-0058493,Central,Fruitrdige Vista,11/1/2008 00:01,11/1/2008 00:40,11/1/2008 00:10,6200 Block of Martin Luther King Jr Blvd,Sacramento,95824,6715307.36658,1948795.46649,PC 647(F) Disorderly Conduct:Public Intoxication,
2009-0008962,North Central,Arden Terrace,12/1/2008 00:01,12/1/2008 00:01,12/1/2008 00:01,1800 Block of Morse Ave,Sacramento,95825,6735336.5,1980432.75,PC 290.013 Fail to Notification of move,
2008-0063306,Rancho Cordova,Micron Park,11/30/2008 16:00,11/30/2008 16:05,12/1/2008 00:25,9600 Block of Old Placerville Rd,Sacramento,95827,6751185.1603,1965382.5758,PC 243(D) Battery With Serious Bodily Injury (Punishment),